Date,Close_BTC-USD,Close_CL=F,Close_GLD,Close_^GSPC,Close_^IXIC,Close_^VIX,BTC_Price_CSV,BTC_MarketCap,Crypto_Total_Cap,BTC_Price,BTC_Dominance
2022-01-04,45897.57421875,76.98999786376953,169.57000732421875,4793.5400390625,15622.7197265625,16.90999984741211,46531.140860530526,880330191985.1965,2352626039695.543,45897.57421875,37.419044809141084
2022-01-05,43569.00390625,77.8499984741211,169.05999755859375,4700.580078125,15100.169921875,19.729999542236328,45938.02427172366,876242689666.1957,2348377701243.8,43569.00390625,37.31268139712366
2022-01-06,43160.9296875,79.45999908447266,166.99000549316406,4696.0498046875,15080.8603515625,19.610000610351562,43647.14750806805,827723202715.1049,2213515197820.032,43160.9296875,37.39406006926374
2022-01-07,41557.90234375,78.9000015258789,167.75,4677.02978515625,14935.900390625,18.760000228881836,43216.45867693359,819522879407.0583,2190192707808.4744,41557.90234375,37.417843484059446
2022-01-08,41733.94140625,,,,,,41527.197042644846,787735561341.1113,2082371705129.0945,41733.94140625,37.82876800529118
2022-01-09,41911.6015625,,,,,,41756.66232397826,792892599975.9554,2056427560361.3704,41911.6015625,38.55679700366507
2022-01-10,41821.26171875,78.2300033569336,168.25999450683594,4670.2900390625,14942.830078125,19.399999618530273,41862.3609856517,791648558214.5575,2078980323360.8965,41821.26171875,38.078694123221524
2022-01-11,42735.85546875,81.22000122070312,170.2899932861328,4713.06982421875,15153.4501953125,18.40999984741211,41869.85905559219,792407724467.5966,2048217284880.2244,42735.85546875,38.68767880815609
2022-01-12,43949.1015625,82.63999938964844,170.74000549316406,4726.35009765625,15188.3896484375,17.6200008392334,42777.21102048236,809621515508.4065,2122791342007.028,43949.1015625,38.13947699367082
2022-01-13,42591.5703125,82.12000274658203,170.16000366210938,4659.02978515625,14806.8095703125,20.309999465942383,43981.87732717414,832460077955.3481,2209430924871.236,42591.5703125,37.677578809297394
